Heure ; Nucléaire ; Charbon ; Gaz semi-base ; Gaz pointe ; Fioul ; Hydro ; STEP pompage ; STEP turbinage ; Batterie injection ; Batterie soutirage
132 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1001.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
133 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 967.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
134 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 673.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
135 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 512.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
136 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 88.0 ; 0.0 ; -0.0 ; 0.0 ; 0.0
137 ; 6086.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
138 ; 5932.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
139 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 69.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
140 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 304.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
141 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 85.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
142 ; 6072.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
143 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 203.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
144 ; 6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 356.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
145 ; 5956.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
146 ; 5381.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
147 ; 5161.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
148 ; 1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 3019.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
149 ; 4742.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
150 ; 4923.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
151 ; 5417.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
152 ; 1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 4126.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
153 ; 5922.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
